#,User Story,Ruta (verbo + path),Controller#Action,Prioridad,Fase Roadmap,Módulo
1,Como dev configuro Rails con PostgreSQL y template Le Wagon,[Setup],rails new + config,P0,Fase 0 - Setup,Setup
2,Como dev hago el primer commit con app vacía,[Git],git init + commit,P0,Fase 0 - Setup,Setup
3,Como sistema existe el modelo Champion con name y champion_id,[Rails Model],champion.rb,P0,Fase 1 - Modelo Base,Campeones
4,Como sistema Champion tiene campos title e image_url,[Rails Model],champion.rb (fields),P0,Fase 1 - Modelo Base,Campeones
5,Como sistema Champion tiene validaciones de name y champion_id,[Rails Model],champion.rb (validations),P0,Fase 1 - Modelo Base,Campeones
6,Como dev cargo 167 campeones desde Riot Data Dragon API en seeds,"[Seeds]",seeds.rb (find_or_create_by),P0,Fase 1 - Modelo Base,Campeones
7,Como dev verifico campeones cargados en rails console,[Console],rails console,P0,Fase 1 - Modelo Base,Campeones
8,Como usuario veo el formulario principal de matchup,GET /,matchups#index,P0,Fase 2 - Formulario,Matchup
9,Como usuario selecciono mi rol (Top/Jungle/Mid/ADC/Supp),GET /,matchups#index (select your_role),P0,Fase 2 - Formulario,Matchup
10,Como usuario selecciono 5 campeones enemigos (uno por rol),GET /,matchups#index (select enemies[]),P0,Fase 2 - Formulario,Matchup
11,Como usuario selecciono 5 campeones aliados (uno por rol),GET /,matchups#index (select allies[]),P0,Fase 2 - Formulario,Matchup
12,Como usuario selecciono mi pool de 3 campeones,GET /,matchups#index (select pool[]),P0,Fase 2 - Formulario,Matchup
13,Como usuario envío el formulario de matchup,POST /recommendations,recommendations#create,P0,Fase 2 - Formulario,Matchup
14,Como dev verifico que los params llegan correctamente al controller,[Debug],recommendations#create (raise),P0,Fase 2 - Formulario,Matchup
15,Como usuario al elegir mi rol se oculta el ally select de ese rol,[Stimulus],matchup_controller.js#hideAlly,P0,Fase 3 - Stimulus,Stimulus
16,Como sistema el Stimulus controller conecta correctamente,[Stimulus],matchup_controller.js#connect,P0,Fase 3 - Stimulus,Stimulus
17,Como sistema la gema anthropic está instalada y configurada,[Setup],Gemfile + initializer,P0,Fase 4 - Claude API,Claude API
18,Como sistema se arma el prompt dinámico con rol + enemigos + aliados + pool,[Service/Controller],recommendations#create (prompt),P0,Fase 4 - Claude API,Claude API
19,Como sistema se envía el prompt a la API de Claude,[Service/Controller],recommendations#create (api call),P0,Fase 4 - Claude API,Claude API
20,Como sistema se recibe y parsea la respuesta de Claude,[Service/Controller],recommendations#create (response),P0,Fase 4 - Claude API,Claude API
21,Como usuario veo la recomendación de Claude en la página,POST /recommendations,recommendations#create (render),P0,Fase 5 - Respuesta,Vista
